reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.01,34.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.025,35.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.05,36.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.1,37.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.15,39.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.2,40.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.25,41.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.3,42.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.35,43.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.4,43.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.45,44.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.5,45.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.55,46.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.6,47.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.65,47.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.7,48.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.75,49.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.8,50.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.85,51.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.9,53.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.95,55.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.975,59.0
2026-04-11,wk inc covid hosp,0,2026-04-11,01,quantile,0.99,63.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.01,2.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.025,2.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.05,2.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.1,3.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.15,3.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.2,3.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.25,4.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.3,4.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.35,4.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.4,4.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.45,5.0
2026-04-11,wk inc covid hosp,0,2026-04-11,02,quantile,0.5,5.0
