reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.01,2.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.025,5.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.05,9.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.1,17.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.15,20.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.2,23.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.25,25.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.3,28.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.35,30.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.4,33.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.45,35.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.5,37.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.55,39.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.6,42.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.65,44.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.7,46.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.75,48.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.8,50.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.85,54.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.9,61.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.95,67.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.975,77.0
2026-03-21,wk inc covid hosp,0,2026-03-21,05,quantile,0.99,86.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.01,35.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.025,53.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.05,72.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.1,106.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.15,121.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.2,133.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.25,143.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.3,151.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.35,159.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.4,167.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.45,174.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.5,181.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.55,188.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.6,195.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.65,203.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.7,211.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.75,219.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.8,229.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.85,241.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.9,256.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.95,291.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.975,326.0
2026-03-21,wk inc covid hosp,0,2026-03-21,06,quantile,0.99,378.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.01,8.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.025,18.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.05,24.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.1,35.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.15,40.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.2,44.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.25,48.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.3,52.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.35,55.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.4,57.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.45,59.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.5,62.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.55,64.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.6,67.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.65,69.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.7,73.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.75,76.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.8,80.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.85,83.0
2026-03-21,wk inc covid hosp,0,2026-03-21,08,quantile,0.9,89.0
