reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.01,26.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.025,30.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.05,32.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.1,37.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.15,39.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.2,41.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.25,41.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.3,43.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.35,44.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.4,44.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.45,44.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.5,44.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.55,45.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.6,48.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.65,48.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.7,48.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.75,49.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.8,50.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.85,52.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.9,55.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.95,62.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.975,74.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.99,100.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.01,2.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.025,2.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.05,2.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.1,3.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.15,3.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.2,4.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.25,4.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.3,4.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.35,5.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.4,5.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.45,6.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.5,6.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.55,7.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.6,7.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.65,7.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.7,7.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.75,8.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.8,9.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.85,9.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.9,10.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.95,11.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.975,14.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.99,16.0
2026-04-04,wk inc covid hosp,0,2026-04-04,04,quantile,0.01,20.0
2026-04-04,wk inc covid hosp,0,2026-04-04,04,quantile,0.025,26.0
2026-04-04,wk inc covid hosp,0,2026-04-04,04,quantile,0.05,26.0
2026-04-04,wk inc covid hosp,0,2026-04-04,04,quantile,0.1,26.0
2026-04-04,wk inc covid hosp,0,2026-04-04,04,quantile,0.15,29.0
