reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.01,22.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.025,26.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.05,27.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.1,31.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.15,32.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.2,33.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.25,36.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.3,40.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.35,40.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.4,42.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.45,42.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.5,42.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.55,42.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.6,44.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.65,44.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.7,44.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.75,46.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.8,47.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.85,50.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.9,54.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.95,58.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.975,68.0
2026-05-09,wk inc covid hosp,0,2026-05-09,01,quantile,0.99,88.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.01,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.025,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.05,1.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.1,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.15,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.2,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.25,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.3,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.35,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.4,2.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.45,3.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.5,3.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.55,4.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.6,4.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.65,4.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.7,4.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.75,5.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.8,5.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.85,6.0
2026-05-09,wk inc covid hosp,0,2026-05-09,02,quantile,0.9,6.0
