reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.01,23.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.025,25.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.05,27.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.1,29.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.15,31.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.2,32.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.25,34.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.3,35.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.35,36.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.4,37.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.45,38.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.5,39.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.55,40.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.6,41.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.65,42.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.7,43.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.75,45.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.8,46.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.85,48.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.9,51.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.95,55.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.975,59.0
2026-04-04,wk inc covid hosp,0,2026-04-04,01,quantile,0.99,63.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.01,1.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.025,1.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.05,2.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.1,2.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.15,3.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.2,3.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.25,4.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.3,4.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.35,4.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.4,4.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.45,5.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.5,5.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.55,5.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.6,6.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.65,6.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.7,6.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.75,7.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.8,7.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.85,8.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.9,8.0
2026-04-04,wk inc covid hosp,0,2026-04-04,02,quantile,0.95,9.0
