reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.01,3.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.025,5.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.05,5.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.1,7.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.15,8.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.2,9.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.25,10.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.3,10.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.35,11.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.4,11.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.45,12.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.5,12.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.55,13.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.6,13.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.65,14.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.7,15.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.75,17.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.8,18.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.85,18.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.9,22.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.95,26.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.975,27.0
2026-04-11,wk inc covid hosp,0,2026-04-11,05,quantile,0.99,30.0
2026-04-11,wk inc covid hosp,0,2026-04-11,06,quantile,0.01,94.0
2026-04-11,wk inc covid hosp,0,2026-04-11,06,quantile,0.025,96.0
2026-04-11,wk inc covid hosp,0,2026-04-11,06,quantile,0.05,98.0
